symbol;nazwa;opisObejmujeNieobejmuje;id;opis
15.20;Produkcja obuwia;;280;Produkcja obuwia
15.20.Z;Produkcja obuwia;15.20.Z Podklasa ta obejmuje: produkcję obuwia różnego typu, włączając obuwie sportowe, z różnego materiału oraz przy zastosowaniu różnych procesów technologicznych, włączając modelowanie, produkcję części obuwia ze skóry, takich jak: cholewki, spody, obcasy itp. Podklasa ta nie obejmuje: produkcji obuwia tekstylnego bez nakładanych spodów, sklasyfikowanej w 14.19.Z, produkcji części obuwia z drewna (np. obcasów i kopyt), sklasyfikowanej w 16.29.Z, produkcji obcasów i spodów z gumy oraz innych części obuwia z gumy, sklasyfikowanej w 22.19.Z, produkcji części obuwia z tworzyw sztucznych, sklasyfikowanej w 22.29.Z, produkcji butów narciarskich, sklasyfikowanej w 32.30.Z, produkcji obuwia ortopedycznego, sklasyfikowanej w 32.50.Z.;281;Produkcja obuwia
16.10;Produkcja wyrobów tartacznych;;284;Produkcja wyrobów tartacznych
16.10.Z;Produkcja wyrobów tartacznych;16.10.Z Podklasa ta obejmuje: piłowanie, heblowanie i obróbkę mechaniczną drewna, rozciie na warstwy, korowanie lub struganie kłód, produkcję drewnianych podkładów kolejowych, produkcję drewnianych materiałów podłogowych niepołączonych, produkcję wełny drzewnej, mączki drzewnej, wiórów, suszenie drewna, impregnowanie drewna i obróbkę chemiczną drewna z użyciem środków konserwujących lub innych substancji. Podklasa ta nie obejmuje: produkcji drewna surowego, sklasyfikowanej w 02.20.Z, produkcji arkuszy fornirowych odpowiednio cienkich w celu użycia ich w sklejce, płytach i panelach, sklasyfikowanej w 16.21.Z, produkcji gontu, listew dekoracyjnych, listew profilowych i szablonów, sklasyfikowanej w 16.23.Z, produkcji polan do kominka lub prasowanego drewna, sklasyfikowanej w 16.29.Z.;285;Produkcja wyrobów tartacznych
16.21;Produkcja arkuszy fornirowych i płyt wykoych na bazie drewna;;287;Produkcja arkuszy fornirowych i płyt wykoych na bazie drewna
16.21.Z;Produkcja arkuszy fornirowych i płyt wykoych na bazie drewna;16.21.Z Podklasa ta obejmuje: produkcję arkuszy fornirowych odpowiednio cienkich w celu użycia ich do oklejania, produkcji sklejki lub innych celów: wygładzonych, barwionych, powlekanych, impregnowanych, wzmocnionych papierem lub materiałem, wykoych w formie motywów, produkcję sklejki, płyt fornirowych i podobnych laminowanych płyt i arkuszy, produkcję płyt o wiórach zorientowanych (OSB) i pozostałych płyt wiórowych, produkcję średniej gęstości płyt pilśniowych (MDF) i pozostałych płyt pilśniowych, produkcję utwardzonego drewna, produkcję klejonego drewna warstwowego oraz laminowanego drewna fornirowego.;288;Produkcja arkuszy fornirowych i płyt wykoych na bazie drewna
16.22;Produkcja gotowych parkietów podłogowych;;289;Produkcja gotowych parkietów podłogowych
16.22.Z;Produkcja gotowych parkietów podłogowych;16.22.Z Podklasa ta obejmuje: produkcję drewnianych bloków parkietowych, klepek itp. połączonych w formę płyt. Podklasa ta nie obejmuje: produkcji drewnianych elementów podłogowych niepołączonych, sklasyfikowanej w 16.10.Z.;290;Produkcja gotowych parkietów podłogowych
16.23;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;;291;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
16.23.Z;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;16.23.Z Podklasa ta obejmuje: produkcję wyrobów z drewna przeznaczonych głównie dla budownictwa, takich jak: belki, dźwigary, krokwie, rozpory dachowe, prefabrykowane wiązary dachowe z klejonego drewna warstwowego połączonego metalem, drzwi, okna, okiennice i ramy okienne, z osprzętem metalowym lub bez, takim jak: zawiasy, zamki itp., schody, poręcze i ogrodzenia, listwy dekoracyjne, listwy profilowe, gonty i podobne elementy drewniane, produkcję prefabrykowanych budynków lub ich elementów, z drewna, np. sauny, produkcję przenośnych domów, produkcję drewnianych ścianek działowych, do wbudowania na stałe. Podklasa ta nie obejmuje: produkcji szafek kuchennych, szafek na książki, szaf ubraniowych itp., sklasyfikowanej w 31.01.Z, 31.02.Z, 31.09.Z, produkcji wolnostojących, drewnianych przepierzeń, parawanów, sklasyfikowanej w 31.01.Z, 31.02.Z, 31.09.Z.;292;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
16.24;Produkcja opakowań drewnianych;;293;Produkcja opakowań drewnianych
16.24.Z;Produkcja opakowań drewnianych;16.24.Z Podklasa ta obejmuje: produkcję futerałów, skrzyń, pudełek, klatek i podobnych opakowań drewnianych, produkcję palet, palet skrzyniowych i pozostałych opakowań transportowych z drewna, produkcję beczek, kadzi, balii i pozostałych wyrobów bednarskich, produkcję drewnianych bębnów kablowych. Podklasa ta nie obejmuje: produkcji toreb bagażowych, sklasyfikowanej w 15.12.Z, produkcji opakowań wyplatanych z surowców roślinnych, sklasyfikowanej w 16.29.Z.;294;Produkcja opakowań drewnianych
16.29;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";;295;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania"
16.29.Z;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania";16.29.Z Podklasa ta obejmuje: produkcję różnych wyrobów z drewna, takich jak: trzonki, uchwyty i korpusy do: narzędzi, mioteł, szczotek i pędzli, drewniane formy i kopyta szewskie, wieszaki ubraniowe, drewniane artykuły gospodarstwa domowego i naczynia kuchenne, drewniane statuetki i ornamenty, drewno intarsjowane, drewno inkrustowane, drewniane kasetki i szkatułki na biżuterię, sztućce i podobne artykuły, drewniane cewki (szpule), przykrywki, wrzeciona, szpulki na nici oraz podobne wyroby z drewna toczonego, inne wyroby drewniane, przetwarzanie korka naturalnego, produkcję korka aglomerowanego, produkcję wyrobów z korka naturalnego lub aglomerowanego, włączając elementy podłogowe, produkcję plecionek i wyrobów wyplatanych, takich jak: maty, wycieraczki, parawany, pudełka itp., produkcję koszy i innych wyrobów wikliniarskich, produkcję materiałów opałowych, wykonywanych z prasowanego drewna lub materiałów zastępczych takich jak: trociny, odpady kawowe, sojowe, słoma itp., produkcję ram do luster i obrazów, z drewna, produkcję ram do płócien malarskich, produkcję części do obuwia z drewna (np. obcasów, kopyt), produkcję rączek do parasolek, lasek i podobnych przedmiotów, produkcję bloków do wyrobu fajek do palenia tytoniu. Podklasa ta nie obejmuje: produkcji mat z materiałów tekstylnych, sklasyfikowanej w 13.92.Z, produkcji toreb bagażowych, sklasyfikowanej w 15.12.Z, produkcji obuwia drewnianego, sklasyfikowanej w 15.20.Z, produkcji zapałek, sklasyfikowanej w 20.51.Z, produkcji obudów do zegarów, sklasyfikowanej w 26.52.Z, produkcji drewnianych cewek (szpulek) i wrzecion, które są częścią maszyn tekstylnych, sklasyfikowanej w 28.94.Z, produkcji mebli, sklasyfikowanej w odpowiednich podklasach grupy 31.0, produkcji zabawek drewnianych, sklasyfikowanej w 32.40.Z, produkcji pędzli, szczotek i mioteł, sklasyfikowanej w 32.91.Z, produkcji sprzętu ratunkowego z korka, sklasyfikowanej w 32.99.Z, produkcji trumien, sklasyfikowanej w 32.99.Z.;296;"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania"
17.11;Produkcja masy włóknistej;;299;Produkcja masy włóknistej
17.11.Z;Produkcja masy włóknistej;17.11.Z Podklasa ta obejmuje: produkcję bielonej, półbielonej i niebielonej celulozowej masy papierowej za pomocą procesu mechanicznego, chemicznego (z rozpuszczalnikiem lub bez rozpuszczalnika) lub półchemicznego, produkcję lintersu bawełnianego, usuwanie farby drukarskiej, produkcję masy celulozowej z makulatury.;300;Produkcja masy włóknistej
17.12;Produkcja papieru i tektury;;301;Produkcja papieru i tektury
17.12.Z;Produkcja papieru i tektury;17.12.Z Podklasa ta obejmuje: produkcję papieru i tektury przeznaczonych do dalszej obróbki przemysłowej, tzn.: pokrywanie, powlekanie i impregnację papieru i tektury, produkcję krepiny i papieru marszczonego, produkcję laminatów i folii, jeżeli łączone są z papierem lub tekturą, produkcję papieru czerpanego, produkcję papieru gazetowego, drukarskiego i papieru do pisania, produkcję waty celulozowej oraz zwojów z włókien celulozowych, produkcję kalki maszynowej lub ołówkowej oraz szablonów z papieru, w zwojach lub dużych arkuszach. Podklasa ta nie obejmuje: produkcji papieru falistego i tektury falistej, sklasyfikowanej w 17.21.Z, produkcji wyrobów z papieru, tektury lub masy celulozowej, sklasyfikowanej w 17.22.Z, 17.23.Z, 17.24.Z, 17.29.Z, produkcji papieru ściernego, sklasyfikowanej w 23.91.Z, produkcji powlekanego lub impregnowanego papieru, jeżeli pokrycie lub impregnat są głównymi składnikami, sklasyfikowanej w podklasie związanej z produkcją pokrycia lub impregnatu.;302;Produkcja papieru i tektury
17.21;Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury;;304;Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury
17.21.Z;Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury;17.21.Z Podklasa ta obejmuje: produkcję papieru falistego i tektury falistej, produkcję opakowań z papieru i tektury falistej, produkcję składanych opakowań z tektury, produkcję opakowań z tektury twardej, produkcję pozostałych opakowań z papieru i tektury, produkcję worków i toreb papierowych, produkcję segregatorów biurowych i podobnych artykułów. Podklasa ta nie obejmuje: produkcji kopert, sklasyfikowanej w 17.23.Z, produkcji wyrobów formowanych lub wytłaczanych z masy celulozowej (np. korytek do jajek, papierowych talerzy), sklasyfikowanej w 17.29.Z.;305;Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury
17.22;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych;;306;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych
17.22.Z;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych;17.22.Z Podklasa ta obejmuje: produkcję wyrobów gospodarstwa domowego i higieny osobistej, z papieru i waty celulozowej, takich jak: bibułki czyszczące, chusteczki do nosa, ręczniki, serwetki, papier toaletowy, podpaski higieniczne i tampony, pieluszki i wkładki wchłaniające do pieluch dla niemowląt i małych dzieci, kubki, talerze i tacki, produkcję waty z materiałów tekstylnych i wyrobów z niej: podpasek higienicznych, tamponów itp. Podklasa ta nie obejmuje: produkcji waty celulozowej, sklasyfikowanej w 17.12.Z.;307;Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych
17.23;Produkcja artykułów piśmiennych;;308;Produkcja artykułów piśmiennych
17.23.Z;Produkcja artykułów piśmiennych;17.23.Z Podklasa ta obejmuje: produkcję papieru drukarskiego i piśmiennego gotowego do użycia, produkcję papieru do drukarek komputerowych gotowego do użycia, produkcję papieru samokopiującego gotowego do użycia, produkcję kalki maszynowej lub ołówkowej oraz szablonów z papieru gotowych do użycia, produkcję papieru samoprzylepnego (powlekanego klejem lub gumowanego) gotowego do użycia, produkcję kopert i kart pocztowych, produkcję pudełek, torebek, portfeli i zestawów obejmujących pewien asortyment materiałów piśmiennych, produkcję szkolnych i pozostałych artykułów piśmiennych (zeszyty, notesy, segregatory, rejestry, księgi rachunkowe, formularze itp.), w przypadku gdy informacje w nich drukowane są mało istotne. Podklasa ta nie obejmuje: drukowania na wyrobach z papieru, sklasyfikowanego w odpowiednich podklasach grupy 18.1.;309;Produkcja artykułów piśmiennych
17.24;Produkcja tapet;;310;Produkcja tapet
17.24.Z;Produkcja tapet;17.24.Z Podklasa ta obejmuje: produkcję tapet papierowych i podobnych pokryć ściennych, włączając tapety papierowe pokryte winylem i tekstylne pokrycia ścian. Podklasa ta nie obejmuje: produkcji pokryć ściennych z tworzywa sztucznego, sklasyfikowanej w 22.29.Z.;311;Produkcja tapet
17.29;Produkcja pozostałych wyrobów z papieru i tektury;;312;Produkcja pozostałych wyrobów z papieru i tektury
17.29.Z;Produkcja pozostałych wyrobów z papieru i tektury;17.29.Z Podklasa ta obejmuje: produkcję etykietek, produkcję filtrów z papieru i tektury, produkcję cewek, szpulek, nasadek i podobnych wyrobów z papieru i tektury, produkcję korytek do jajek i podobnych form papierowych do pakowania produktów, produkcję ozdóbek i pamiątek z papieru, produkcję kart z papieru i tektury stosowanych w maszynach żakardowych. Podklasa ta nie obejmuje: produkcji kart do gry, sklasyfikowanej w 32.40.Z, produkcji gier i zabawek z papieru i tektury, sklasyfikowanej w 32.40.Z.;313;Produkcja pozostałych wyrobów z papieru i tektury
18.11;Drukowanie gazet;;316;Drukowanie gazet
18.11.Z;Drukowanie gazet;18.11.Z Podklasa ta obejmuje: drukowanie gazet, czasopism i pozostałych periodyków ukazujących się przynajmniej cztery razy w tygodniu. Podklasa ta nie obejmuje: działalności wydawniczej, sklasyfikowanej w odpowiednich podklasach grupy 58.1, fotokopiowania dokumentów, sklasyfikowanego w 82.19.Z.;317;Drukowanie gazet
18.12;Pozostałe drukowanie;;318;Pozostałe drukowanie
18.12.Z;Pozostałe drukowanie;18.12.Z Podklasa ta obejmuje: drukowanie czasopism i pozostałych periodyków, wydawanych rzadziej niż cztery razy w tygodniu, drukowanie książek, broszur, nut i manuskryptów, map, atlasów, plakatów, katalogów reklamowych, prospektów i innych reklam, znaczków pocztowych, znaczków skarbowych, druków manipulacyjnych, czeków i innych papierów wartościowych, kart inteligentnych, albumów, kalendarzy, notatników, pamiętników, formularzy, papieru listowego, papieru z nagłówkiem i innych podobnych artykułów drukowanych przy użyciu maszyn drukarskich, offsetowych, rotograwiurowych, fleksograficznych, sitodruku i pozostałych maszyn drukarskich, kserokopiarek, drukarek komputerowych, wytłaczarek, fotokopiarek i termokopiarek, włączając szybkie drukowanie, drukowanie bezpośrednio na wyrobach/materiałach tekstylnych, tworzywie sztucznym, szkle, metalu, drewnie i ceramice, drukowanie etykiet i przywieszek (metodą litografii, druku wklęsłego, fleksografii, sitodruku i innych metod). Podklasa ta nie obejmuje: wykonywania sitodruku na materiałach tekstylnych i odzieży, sklasyfikowanego w 13.30.Z, produkcji artykułów piśmiennych (notesy, segregatory, rejestry, księgi rachunkowe, formularze handlowe itp.), w przypadku gdy informacje w nich drukowane są mało istotne, sklasyfikowanej w 17.23.Z, działalności wydawniczej, sklasyfikowanej w odpowiednich podklasach grupy 58.1.;319;Pozostałe drukowanie
18.13;Działalność usługowa związana z przygotowywaniem do druku;;320;Działalność usługowa związana z przygotowywaniem do druku
18.13.Z;Działalność usługowa związana z przygotowywaniem do druku;18.13.Z Podklasa ta obejmuje: wprowadzanie danych: skład, fotoskład, ręczne wprowadzanie danych, włączając skanowanie i optyczne rozpoznawanie znaków, przygotowanie danych w formie elektronicznej, przygotowanie plików z danymi na użytek różnych mediów (nośnik papierowy, CD-ROM, Internet), działalność usługową związaną z tworzeniem płyt drukarskich, włączając tworzenie płyt dla druku typograficznego i offsetowego, grawerowanie cylindrów do reprodukcji rycin, transfer z komputera na płytę (CTP), włączając płyty fotopolimerowe, reprodukcję płyt drukarskich i matryc do stemplowania i drukowania wypukłego, przygotowanie ilustracji, włączając wykonywanie kamieni litograficznych oraz gotowych bloków drewnianych, produkcję nośników służących do prezentacji, np. folii dla rzutników i pozostałych form prezentacji cyfrowej, projektowanie wyrobów drukowanych, takich jak: szkice, makiety, modele itp., wykonywanie korekty tekstu. Podklasa ta nie obejmuje: specjalistycznego projektowania, sklasyfikowanego w 74.10.Z.;321;Działalność usługowa związana z przygotowywaniem do druku
18.14;Introligatorstwo i podobne usługi;;322;Introligatorstwo i podobne usługi
18.14.Z;Introligatorstwo i podobne usługi;18.14.Z Podklasa ta obejmuje: działalność usługową wykonywaną po wydrukowaniu, wspierającą działalność poligraficzną, taką jak: oprawianie i obróbka wykańczająca książek, broszur, magazynów, czasopism, katalogów itp. poprzez składanie, łamanie, zszywanie, sklejanie, przyciie, tłoczenie złoceń, bindowanie oprawą spiralną i oprawianie dokumentów grzbietami tworzyw sztucznych, oprawianie i wykańczanie zadrukowanego papieru lub tektury poprzez składanie, tłoczenie, wiercenie, perforowanie, dziurkowanie, wytłaczanie, sklejanie, laminowanie, obróbkę wykańczającą CD-ROM, usługi związane z wysyłką, takie jak przygotowanie materiałów do wysyłki, kopertowanie, czynności wykończeniowe pozostałe, takie jak: grawerowanie lub wytłaczanie matryc, kopiowanie w Braille\'u.;323;Introligatorstwo i podobne usługi
18.20;Reprodukcja zapisanych nośników informacji;;325;Reprodukcja zapisanych nośników informacji
18.20.Z;Reprodukcja zapisanych nośników informacji;18.20.Z Podklasa ta obejmuje: reprodukcję z egzemplarza wzorcowego płyt gramofonowych, CD, DVD, taśm z muzyką lub innym zapisem dźwiękowym, reprodukcję z egzemplarza wzorcowego płyt CD, DVD i taśm wideo z filmami lub innymi nagraniami wideo, reprodukcję z egzemplarza wzorcowego oprogramowania i danych na wszelkiego rodzaju dyskach i taśmach. Podklasa ta nie obejmuje: reprodukcji różnych druków, sklasyfikowanej w 18.11.Z, 18.12.Z, publikowania oprogramowania, sklasyfikowanego w odpowiednich podklasach grupy 58.2, produkcji i dystrybucji filmów, taśm wideo i filmów na DVD lub podobnych nośnikach, sklasyfikowanych w 59.11.Z, 59.12.Z, 59.13.Z, reprodukcji filmów w celu dystrybucji kinowej, sklasyfikowanej w 59.12.Z, produkcji egzemplarzy wzorcowych płyt gramofonowych lub materiału dźwiękowego, sklasyfikowanej w 59.20.Z.;326;Reprodukcja zapisanych nośników informacji
19.10;Wytwarzanie i przetwarzanie koksu;;329;Wytwarzanie i przetwarzanie koksu
19.10.Z;Wytwarzanie i przetwarzanie koksu;19.10.Z Podklasa ta obejmuje: eksploatację pieców koksowniczych, produkcję koksu, półkoksu, produkcję paku, koksu pakowego, produkcję gazu koksowniczego, produkcję surowej smoły z węgla kamiennego i brunatnego (lignitu), brykietowanie koksu. Podklasa ta nie obejmuje: produkcji brykietów z węgla kamiennego, sklasyfikowanej w 19.20.Z.;330;Wytwarzanie i przetwarzanie koksu
19.20;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej;;332;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej
19.20.Z;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej;19.20.Z Podklasa ta obejmuje: wytwarzanie płynnych i gazowych paliw lub pozostałych produktów z ropy naftowej, minerałów bitumicznych lub ich frakcji. Rafinacja ropy naftowej wymaga jednego lub kilku następujących procesów: frakcjonowania, bezpośredniej destylacji ropy naftowej oraz krakingu, produkcję paliw silnikowych: benzyny, nafty lotniczej (kerozyny) itp., produkcję paliw: olejów opałowych (lekkich, średnich i ciężkich), gazów rafineryjnych, np. etan, propan, butan itp., produkcję olejów smarowych i smarów, włączając powstałe z przeróbki olejów przepracowanych, produkcję wyrobów dla przemysłu petrochemicznego i produkcji pokryć drogowych, produkcję różnych wyrobów: benzyn lakierniczych, wazelin, parafin itp., produkcję brykietów z produktów naftowych, węgla brunatnego (lignitu), węgla kamiennego, torfu, mieszanie komponentów z ropą naftową np. mieszanie alkoholi z ropą naftową (paliwo alkoholowe, gazohol).;333;Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej
20.11;Produkcja gazów technicznych;;336;Produkcja gazów technicznych
20.11.Z;Produkcja gazów technicznych;20.11.Z Podklasa ta obejmuje produkcję gazów nieorganicznych w stanie ciekłym lub sprężonym dla zastosowań przemysłowych lub medycznych: pierwiastków chemicznych w stanie gazowym, powietrza w stanie ciekłym lub sprężonym, gazów chłodniczych, mieszanek gazów technicznych, gazów obojętnych, jak dwutlenek węgla, gazów izolacyjnych. Podklasa ta nie obejmuje: górnictwa metanu, etanu, butanu lub propanu, sklasyfikowanego w 06.20.Z, produkcji gazów opałowych takich jak etan, butan lub propan wytworzonych w procesie rafinacji ropy naftowej, sklasyfikowanej w 19.20.Z, produkcji paliw gazowych z węgla, odpadów itp. sklasyfikowanej w 35.21.Z.;337;Produkcja gazów technicznych
20.12;Produkcja barwników i pigmentów;;338;Produkcja barwników i pigmentów
20.12.Z;Produkcja barwników i pigmentów;20.12.Z Podklasa ta obejmuje: produkcję barwników i pigmentów z dowolnego surowca w formie podstawowej lub jako koncentrat, produkcję substancji fluorescencyjnych i luminescencyjnych. Podklasa ta nie obejmuje: produkcji gotowych preparatów barwnikowych i pigmentowych, sklasyfikowanej w 20.30.Z.;339;Produkcja barwników i pigmentów
20.13;Produkcja pozostałych podstawowych chemikaliów nieorganicznych;;340;Produkcja pozostałych podstawowych chemikaliów nieorganicznych
20.13.Z;Produkcja pozostałych podstawowych chemikaliów nieorganicznych;20.13.Z Podklasa ta obejmuje produkcję podstawowych chemikaliów przy zastosowaniu podstawowych procesów. Wynikiem tych procesów są zwykle wyodrębnione pierwiastki chemiczne oraz wyodrębnione chemicznie zdefiniowane związki. Podklasa ta obejmuje: produkcję pierwiastków chemicznych, z wyłączeniem produkcji gazów technicznych i metali podstawowych, produkcję kwasów nieorganicznych, z wyłączeniem kwasu azotowego, produkcję zasad (ługów) i pozostałych związków nieorganicznych, z wyłączeniem amoniaku, produkcję pozostałych związków nieorganicznych, prażenie pirytów, produkcję wody destylowanej, wzbogacanie rud uranu i plutonu, wtapianie uranu i toru. Podklasa ta nie obejmuje: produkcji gazów technicznych, sklasyfikowanej w 20.11.Z, produkcji nawozów azotowych i mieszanek azotowych, sklasyfikowanej w 20.15.Z, produkcji amoniaku i chlorku amonowego, sklasyfikowanej w 20.15.Z, produkcji azotanu i azotynu potasu, sklasyfikowanej w 20.15.Z, produkcji węglanów amonowych, sklasyfikowanej w 20.15.Z, produkcji aromatyzowanej wody destylowanej, sklasyfikowanej w 20.53.Z, produkcji metali podstawowych, sklasyfikowanej w odpowiednich podklasach działu 24.;341;Produkcja pozostałych podstawowych chemikaliów nieorganicznych
20.14;Produkcja pozostałych podstawowych chemikaliów organicznych;;342;Produkcja pozostałych podstawowych chemikaliów organicznych
20.14.Z;Produkcja pozostałych podstawowych chemikaliów organicznych;20.14.Z Podklasa ta obejmuje produkcję podstawowych chemikaliów przy zastosowaniu takich procesów jak kraking termiczny, destylacja. Wynikiem tych procesów są zwykle wyodrębnione pierwiastki chemiczne oraz wyodrębnione chemicznie zdefiniowane związki. Podklasa ta obejmuje: produkcję podstawowych chemikaliów organicznych, takich jak: acykliczne węglowodory nasycone i nienasycone, cykliczne węglowodory nasycone i nienasycone, alkohole cykliczne i acykliczne, kwasy jedno- i wielokarboksylowe, włączając syntetyczny kwas octowy, inne związki z rodnikami zawierającymi tlen, włączając aldehydy, ketony, benzochinony i związki o dwu i wielu rodnikach zawierających tlen, syntetyczna gliceryna, organiczne związki azotowe, włączając aminy, alkohol etylowy i estry pochodzenia rolniczego nieprzeznaczone do spożycia, syntetyczny alkohol etylowy, inne związki organiczne, włączając produkty destylacji drewna (np. węgiel drzewny) itp., produkcję syntetycznych aromatów, produkcję smoły węglowej. Podklasa ta nie obejmuje: produkcji tworzyw sztucznych w formach podstawowych, sklasyfikowanej w 20.16.Z, produkcji kauczuku syntetycznego w formach podstawowych, sklasyfikowanej w 20.17.Z, produkcji surowej gliceryny, sklasyfikowanej w 20.41.Z, produkcji olejków eterycznych, sklasyfikowanej w 20.53.Z, produkcji kwasu salicylowego i utlenionego kwasu acetylosalicylowego, sklasyfikowanej w 21.10.Z.;343;Produkcja pozostałych podstawowych chemikaliów organicznych
20.15;Produkcja nawozów i związków azotowych;;344;Produkcja nawozów i związków azotowych
20.15.Z;Produkcja nawozów i związków azotowych;20.15.Z Podklasa ta obejmuje: produkcję nawozów: czystych lub mieszanych nawozów: azotowych, fosforowych, potasowych, mocznikowych, surowych naturalnych fosfatów i surowych naturalnych soli potasowych, produkcję związków azotowych: kwasu azotowego, mieszanin nitrujących, amoniaku, chlorku amonu, węglanu amonu, azotynów i azotanów potasu, produkcję nawozów organicznych pochodzenia zwierzęcego i roślinnego, produkcję nawozów organiczno-mineralnych, produkcję nawozów mikroelementowych, produkcję podłoża bez wsianej grzybni, produkcję ziemi ogrodniczej zawierającej torf jako główny składnik, produkcję ziemi ogrodniczej będącej mieszaniną naturalnej gleby, piasku, gliny i minerałów. Podklasa ta nie obejmuje: wydobywania guano, sklasyfikowanego w 08.91.Z, produkcji wyrobów agrochemicznych, takich jak pestycydy, sklasyfikowanej w 20.20.Z produkcji nawozów, które są wyodrębnionymi, chemicznie zdefiniowanymi związkami, sklasyfikowanej w odpowiednich podklasach Sekcji C.;345;Produkcja nawozów i związków azotowych
20.16;Produkcja tworzyw sztucznych w formach podstawowych;;346;Produkcja tworzyw sztucznych w formach podstawowych
20.16.Z;Produkcja tworzyw sztucznych w formach podstawowych;20.16.Z Podklasa ta obejmuje produkcję żywic, tworzyw sztucznych, niewulkanizowanych termoplastycznych elastomerów, zmieszanych i połączonych żywic w formach podstawowych, jak również produkcję żywic syntetycznych, bez ich przetworzenia. Podklasa ta obejmuje: produkcję tworzyw sztucznych w formach podstawowych, takich jak: polimery, włączając polimery etylenu, propylenu, styrenu, chlorku winylu, octanu winylu i akrylu, poliamidy, żywice fenolowe i epoksydowe oraz poliuretany, żywice alkidowe, poliestrowe i poliestry, silikony, wymieniacze jonowe polimerowe, produkcję celulozowych tworzyw sztucznych. Podklasa ta nie obejmuje: produkcji sztucznych i syntetycznych włókien i przędzy, sklasyfikowanej w 20.60.Z, rozdrabniania wyrobów z tworzyw sztucznych, sklasyfikowanego w 38.32.Z.;347;Produkcja tworzyw sztucznych w formach podstawowych
20.17;Produkcja kauczuku syntetycznego w formach podstawowych;;348;Produkcja kauczuku syntetycznego w formach podstawowych
20.17.Z;Produkcja kauczuku syntetycznego w formach podstawowych;20.17.Z Podklasa ta obejmuje: produkcję kauczuku syntetycznego w postaci surowej, takiego jak: kauczuk syntetyczny, faktysy, produkcję mieszanek kauczuku syntetycznego i naturalnego lub kauczukopodobnych żywic (np. balata).;349;Produkcja kauczuku syntetycznego w formach podstawowych
20.20;Produkcja pestycydów i pozostałych środków agrochemicznych;;351;Produkcja pestycydów i pozostałych środków agrochemicznych
20.20.Z;Produkcja pestycydów i pozostałych środków agrochemicznych;20.20.Z Podklasa ta obejmuje: produkcję środków ochrony roślin, produkcję środków dezynfekujących (dla celów rolniczych i innych), produkcję pozostałych środków agrochemicznych, gdzie indziej niesklasyfikowaną. Podklasa ta nie obejmuje: produkcji nawozów i związków azotowych, sklasyfikowanej w 20.15.Z.;352;Produkcja pestycydów i pozostałych środków agrochemicznych
20.30;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających;;354;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających
20.30.Z;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających;20.30.Z Podklasa ta obejmuje: produkcję farb i lakierów, pokostów i emalii, produkcję gotowych preparatów pigmentowych i barwników, substancji zmętniających, kolorujących, produkcję szklistych emalii i glazury, pobiałki i podobnych preparatów, produkcję mastyksów, produkcję mas uszczelniających i podobnych nieogniotrwałych preparatów powierzchniowych wypełniających, produkcję złożonych organicznych rozpuszczalników i rozcieńczalników, produkcję gotowych zmywaczy do farb i lakierów, produkcję farb drukarskich. Podklasa ta nie obejmuje: produkcji barwników i pigmentów, sklasyfikowanej w 20.12.Z, produkcji atramentów i tuszy, sklasyfikowanej w 20.59.Z.;355;Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających
20.41;Produkcja mydła i detergentów, środków myjących i czyszczących;;357;Produkcja mydła i detergentów, środków myjących i czyszczących
